frequency,raw
20,0.83
20.4,1.07
20.8,1.30
21.2,1.49
21.7,1.66
22.1,1.79
22.5,1.89
23.0,1.95
23.4,1.99
23.9,2.00
24.4,1.98
24.9,1.95
25.4,1.91
25.9,1.86
26.4,1.81
26.9,1.75
27.5,1.70
28,1.66
28.6,1.62
29.1,1.58
29.7,1.56
30.3,1.54
30.9,1.53
31.5,1.53
32.2,1.54
32.8,1.55
33.5,1.57
34.1,1.60
34.8,1.63
35.5,1.66
36.2,1.70
36.9,1.74
37.7,1.78
38.4,1.83
39.2,1.87
40,1.92
40.8,1.96
41.6,2.00
42.4,2.03
43.3,2.06
44.2,2.09
45.0,2.11
45.9,2.13
46.9,2.13
47.8,2.13
48.8,2.13
49.7,2.11
50.7,2.08
51.8,2.05
52.8,2.00
53.8,1.95
54.9,1.90
56,1.83
57.1,1.77
58.3,1.70
59.4,1.63
60.6,1.56
61.8,1.49
63.1,1.43
64.3,1.37
65.6,1.32
66.9,1.27
68.3,1.24
69.6,1.20
71,1.18
72.4,1.15
73.9,1.13
75.4,1.11
76.9,1.09
78.4,1.07
80,1.05
81.6,1.02
83.3,0.99
84.9,0.96
86.6,0.92
88.3,0.87
90.1,0.82
91.9,0.77
93.8,0.71
95.6,0.65
97.5,0.58
99.4,0.51
101.4,0.44
103.5,0.37
105.6,0.29
107.7,0.21
109.8,0.13
112,0.10
114.3,0.06
116.6,-0.03
118.9,-0.11
121.3,-0.20
123.7,-0.28
126.1,-0.37
128.6,-0.45
131.3,-0.54
133.9,-0.62
136.5,-0.70
139.3,-0.71
142,-0.76
144.9,-0.84
147.8,-0.92
150.8,-0.99
153.8,-1.07
156.9,-1.13
160,-1.11
163.1,-1.18
166.4,-1.25
169.8,-1.31
173.1,-1.34
176.6,-1.35
180.1,-1.40
183.8,-1.47
187.4,-1.53
191.1,-1.53
195,-1.55
198.9,-1.61
202.9,-1.67
207,-1.71
211.1,-1.70
215.3,-1.75
219.6,-1.81
224,-1.87
228.5,-1.89
233,-1.91
237.8,-1.97
242.5,-2.04
247.4,-2.10
252.3,-2.11
257.3,-2.16
262.5,-2.23
267.8,-2.29
273,-2.31
278.5,-2.37
284,-2.46
289.8,-2.52
295.5,-2.54
301.5,-2.62
307.5,-2.71
313.8,-2.80
320,-2.88
326.3,-2.92
332.8,-2.98
339.5,-3.07
346.3,-3.16
353.3,-3.26
360.3,-3.35
367.5,-3.43
374.8,-3.46
382.3,-3.53
390,-3.62
397.8,-3.71
405.8,-3.77
413.8,-3.79
422.3,-3.81
430.5,-3.83
439.3,-3.81
448,-3.81
457,-3.83
466,-3.85
475.5,-3.85
485,-3.85
494.5,-3.82
504.5,-3.87
514.5,-3.88
525,-3.89
535.5,-3.88
546,-3.93
557,-3.92
568,-3.92
579.5,-3.91
591,-3.90
603,-3.89
615,-3.88
627.5,-3.87
640,-3.88
652.5,-3.88
665.5,-3.87
679,-3.82
692.5,-3.77
706.5,-3.79
720.5,-3.77
735,-3.75
749.5,-3.72
764.5,-3.69
780,-3.66
795.5,-3.63
811.5,-3.64
827.5,-3.61
844,-3.61
861,-3.63
878.5,-3.59
896,-3.59
914,-3.57
932,-3.54
950.5,-3.49
970,-3.49
989,-3.45
1009,-3.37
1029,-3.32
1050,-3.22
1071,-3.11
1092,-3
1114,-2.89
1136,-2.77
1159,-2.66
1182,-2.55
1206,-2.43
1230,-2.32
1254,-2.16
1280,-1.99
1305,-1.85
1331,-1.67
1358,-1.53
1385,-1.40
1413,-1.21
1441,-1.07
1470,-0.90
1499,-0.73
1529,-0.58
1560,-0.40
1591,-0.19
1623,0.06
1655,0.31
1688,0.58
1722,0.89
1757,1.17
1792,1.48
1828,1.80
1864,2.12
1901,2.44
1939,2.75
1978,3.08
2018,3.39
2058,3.70
2100,3.98
2142,4.30
2184,4.64
2228,5.02
2272,5.40
2318,5.79
2364,6.17
2412,6.52
2460,6.81
2508,7.12
2560,7.41
2610,7.59
2662,7.67
2716,7.72
2770,7.79
2826,7.80
2882,7.80
2940,7.79
2998,7.79
3058,7.73
3120,7.66
3182,7.59
3246,7.46
3310,7.27
3376,7.04
3444,6.82
3512,6.62
3584,6.44
3654,6.19
3728,5.99
3802,5.76
3878,5.51
3956,5.30
4036,5.08
4116,4.82
4200,4.61
4284,4.39
4368,4.14
4456,3.88
4544,3.68
4636,3.47
4728,3.28
4824,3.09
4920,2.88
5016,2.73
5116,2.65
5220,2.56
5324,2.44
5432,2.35
5540,2.27
5652,2.15
5764,2.05
5880,1.98
5996,1.87
6116,1.81
6240,1.75
6364,1.74
6492,1.71
6620,1.65
6752,1.63
6888,1.57
7024,1.54
7168,1.54
7308,1.54
7456,1.51
7604,1.45
7756,1.44
7912,1.44
8072,1.34
8232,1.17
8400,0.93
8568,0.72
8736,0.51
8912,0.25
9088,0.03
9272,-0.12
9456,-0.31
9648,-0.50
9840,-0.70
10032,-0.91
10232,-1.15
10440,-1.34
10648,-1.59
10864,-1.85
11080,-2.11
11304,-2.37
11528,-2.63
11760,-2.89
11992,-3.15
12232,-3.41
12480,-3.67
12728,-3.97
12984,-4.29
13240,-4.57
13504,-4.86
13776,-5.08
14048,-5.33
14328,-5.59
14616,-5.85
14912,-6.11
15208,-6.37
15512,-6.63
15824,-6.89
16136,-7.15
16464,-7.41
16784,-7.67
17120,-7.93
17472,-8.20
17824,-8.45
18176,-8.71
18544,-8.98
18912,-9.23
19296,-9.55
19680,-9.84
