* Measurement data measured by REW V5.20
* Source: /Users/mrs/Library/CloudStorage/GoogleDrive-angelbegood@gmail.com/My Drive/Design, Development/Squiglink/2.0/data_mrs/Harman Adjusted Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 30, 2023 3:33:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Library/CloudStorage/GoogleDrive-angelbegood@gmail.com/My Drive/Design, Development/Squiglink/2.0/data_mrs/Harman Adjusted Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced
* Measurement: Harman Adjusted Targe
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.506996	0
20.299999	110.493462	0
20.600000	110.471016	0
20.900000	110.446472	0
21.200001	110.421913	0
21.400000	110.405838	0
21.799999	110.374702	0
22.000000	110.360573	0
22.400000	110.334259	0
22.700001	110.314606	0
23.000000	110.296562	0
23.299999	110.278748	0
23.600000	110.262657	0
24.000000	110.241821	0
24.299999	110.227531	0
24.700001	110.209343	0
25.000000	110.196747	0
25.400000	110.180138	0
25.799999	110.165192	0
26.200001	110.150108	0
26.500000	110.139755	0
26.900000	110.127060	0
27.200001	110.117424	0
27.600000	110.106003	0
28.000000	110.094406	0
28.500000	110.080803	0
29.000000	110.068497	0
29.500000	110.055641	0
30.000000	110.042999	0
30.400000	110.032417	0
30.700001	110.024834	0
31.100000	110.013535	0
31.500000	110.003555	0
32.000000	109.990204	0
32.500000	109.976997	0
33.000000	109.963058	0
33.500000	109.949280	0
34.000000	109.935516	0
34.500000	109.920189	0
35.000000	109.904655	0
35.500000	109.887627	0
36.000000	109.871323	0
36.500000	109.853455	0
37.000000	109.835426	0
37.500000	109.815598	0
38.200001	109.785706	0
38.700001	109.764435	0
39.500000	109.727684	0
40.000000	109.703011	0
40.599998	109.669296	0
41.200001	109.633217	0
41.799999	109.596733	0
42.500000	109.551651	0
43.099998	109.510529	0
43.700001	109.468964	0
44.400002	109.418442	0
45.000000	109.373558	0
45.500000	109.335732	0
46.200001	109.281418	0
46.799999	109.232391	0
47.500000	109.174561	0
48.200001	109.115601	0
48.700001	109.072563	0
49.400002	109.010666	0
50.000000	108.957008	0
50.799999	108.883713	0
51.500000	108.818878	0
52.200001	108.753197	0
53.000000	108.676918	0
53.799999	108.599739	0
54.500000	108.531822	0
55.200001	108.463287	0
56.000000	108.383247	0
57.000000	108.283119	0
58.000000	108.183319	0
59.000000	108.081367	0
60.000000	107.981003	0
60.799999	107.900703	0
61.500000	107.832466	0
62.200001	107.763557	0
63.000000	107.685471	0
64.000000	107.587433	0
65.000000	107.489784	0
66.000000	107.392609	0
67.000000	107.296188	0
68.000000	107.202164	0
69.000000	107.108185	0
70.000000	107.015076	0
71.000000	106.923874	0
72.000000	106.833832	0
73.000000	106.744980	0
74.000000	106.657455	0
75.000000	106.572289	0
76.199997	106.471939	0
77.500000	106.367157	0
78.800003	106.265450	0
80.000000	106.175041	0
81.199997	106.085548	0
82.500000	105.989784	0
83.800003	105.895828	0
85.000000	105.809242	0
86.199997	105.725220	0
87.500000	105.634796	0
88.500000	105.566513	0
90.000000	105.466232	0
91.199997	105.388054	0
92.500000	105.304001	0
93.800003	105.222435	0
95.000000	105.148659	0
96.199997	105.076355	0
97.500000	104.999893	0
98.800003	104.926147	0
100.000000	104.859039	0
101.500000	104.777412	0
103.000000	104.698227	0
104.400002	104.622894	0
106.000000	104.538261	0
107.500000	104.458534	0
109.000000	104.380280	0
110.599998	104.297295	0
112.000000	104.224403	0
113.800003	104.132278	0
115.000000	104.071625	0
117.199997	103.960648	0
118.000000	103.920258	0
120.599998	103.791092	0
122.000000	103.721817	0
124.099998	103.618904	0
125.000000	103.575188	0
126.500000	103.502899	0
128.000000	103.431267	0
131.500000	103.265900	0
132.000000	103.242691	0
134.000000	103.150902	0
136.000000	103.060287	0
138.000000	102.969337	0
140.000000	102.880493	0
143.000000	102.749687	0
145.000000	102.664490	0
147.500000	102.558624	0
150.000000	102.456062	0
152.500000	102.356987	0
155.000000	102.260429	0
157.500000	102.165543	0
160.000000	102.073273	0
162.500000	101.984688	0
165.000000	101.898804	0
167.500000	101.813881	0
170.000000	101.732697	0
172.500000	101.655334	0
175.000000	101.580093	0
177.500000	101.507660	0
180.000000	101.437515	0
182.500000	101.371254	0
185.000000	101.308273	0
187.500000	101.249428	0
190.000000	101.192863	0
192.500000	101.139572	0
195.000000	101.089645	0
197.500000	101.043076	0
200.000000	101.000107	0
203.000000	100.957001	0
206.000000	100.915222	0
209.000000	100.873680	0
212.000000	100.834358	0
214.000000	100.807907	0
218.000000	100.758446	0
220.000000	100.734550	0
224.000000	100.687447	0
227.000000	100.654175	0
230.000000	100.622162	0
233.000000	100.591339	0
236.000000	100.561668	0
240.000000	100.523956	0
243.000000	100.497040	0
247.000000	100.462936	0
250.000000	100.438660	0
254.000000	100.407135	0
258.000000	100.378616	0
262.000000	100.351990	0
265.000000	100.332497	0
269.000000	100.310349	0
272.000000	100.294266	0
276.000000	100.273651	0
280.000000	100.255806	0
285.000000	100.236252	0
290.000000	100.219612	0
295.000000	100.205887	0
300.000000	100.195007	0
304.000000	100.187447	0
307.000000	100.182785	0
311.000000	100.177002	0
315.000000	100.170670	0
320.000000	100.163574	0
325.000000	100.158142	0
330.000000	100.152390	0
335.000000	100.147232	0
340.000000	100.142700	0
345.000000	100.138870	0
350.000000	100.136475	0
355.000000	100.133766	0
360.000000	100.130714	0
365.000000	100.129097	0
370.000000	100.128059	0
375.000000	100.127609	0
382.000000	100.128166	0
387.000000	100.128021	0
395.000000	100.128937	0
400.000000	100.130936	0
406.000000	100.133240	0
412.000000	100.136177	0
418.000000	100.138748	0
425.000000	100.143021	0
431.000000	100.146988	0
437.000000	100.152359	0
444.000000	100.157829	0
450.000000	100.163383	0
455.000000	100.167999	0
462.000000	100.175140	0
468.000000	100.181267	0
475.000000	100.189575	0
482.000000	100.198364	0
487.000000	100.204033	0
494.000000	100.213799	0
500.000000	100.220833	0
508.000000	100.222137	0
515.000000	100.223450	0
522.000000	100.224854	0
530.000000	100.226303	0
538.000000	100.227844	0
545.000000	100.228607	0
552.000000	100.230339	0
560.000000	100.232254	0
570.000000	100.234383	0
580.000000	100.238686	0
590.000000	100.243286	0
600.000000	100.248169	0
608.000000	100.254066	0
615.000000	100.259941	0
622.000000	100.266037	0
630.000000	100.274460	0
640.000000	100.287498	0
650.000000	100.302856	0
660.000000	100.319633	0
670.000000	100.338638	0
680.000000	100.359184	0
690.000000	100.382950	0
700.000000	100.409225	0
710.000000	100.437759	0
720.000000	100.466949	0
730.000000	100.498360	0
740.000000	100.530319	0
750.000000	100.562744	0
762.000000	100.604019	0
775.000000	100.648895	0
788.000000	100.695534	0
800.000000	100.740135	0
812.000000	100.784546	0
825.000000	100.834816	0
838.000000	100.887024	0
850.000000	100.936020	0
862.000000	100.985916	0
875.000000	101.042061	0
885.000000	101.086967	0
900.000000	101.156029	0
912.000000	101.211792	0
925.000000	101.273209	0
938.000000	101.333824	0
950.000000	101.388832	0
962.000000	101.442795	0
975.000000	101.497925	0
988.000000	101.548317	0
1000.000000	101.591301	0
1015.000000	101.655785	0
1030.000000	101.711319	0
1044.000000	101.756508	0
1060.000000	101.799385	0
1075.000000	101.832047	0
1090.000000	101.860039	0
1106.000000	101.886101	0
1120.000000	101.906166	0
1138.000000	101.930382	0
1150.000000	101.945564	0
1172.000000	101.974724	0
1180.000000	101.986252	0
1206.000000	102.026512	0
1220.000000	102.050453	0
1241.000000	102.092407	0
1250.000000	102.112495	0
1265.000000	102.149574	0
1280.000000	102.190254	0
1315.000000	102.301552	0
1320.000000	102.318832	0
1340.000000	102.393074	0
1360.000000	102.473045	0
1380.000000	102.560310	0
1400.000000	102.654625	0
1430.000000	102.802994	0
1450.000000	102.906479	0
1475.000000	103.041069	0
1500.000000	103.179573	0
1525.000000	103.320969	0
1550.000000	103.464249	0
1575.000000	103.608238	0
1600.000000	103.751007	0
1625.000000	103.892380	0
1650.000000	104.031319	0
1675.000000	104.167747	0
1700.000000	104.301628	0
1725.000000	104.432922	0
1750.000000	104.561409	0
1775.000000	104.686249	0
1800.000000	104.808182	0
1825.000000	104.927277	0
1850.000000	105.044350	0
1875.000000	105.158409	0
1900.000000	105.270355	0
1925.000000	105.380157	0
1950.000000	105.487633	0
1975.000000	105.591980	0
2000.000000	105.694542	0
2030.000000	105.803352	0
2060.000000	105.910622	0
2090.000000	106.017822	0
2120.000000	106.124786	0
2140.000000	106.196838	0
2180.000000	106.341003	0
2200.000000	106.414993	0
2240.000000	106.564850	0
2270.000000	106.678268	0
2300.000000	106.794044	0
2330.000000	106.909462	0
2360.000000	107.024353	0
2400.000000	107.178368	0
2430.000000	107.293091	0
2470.000000	107.443878	0
2500.000000	107.554321	0
2540.000000	107.699432	0
2580.000000	107.840538	0
2620.000000	107.978500	0
2650.000000	108.080475	0
2690.000000	108.213150	0
2720.000000	108.311081	0
2760.000000	108.439133	0
2800.000000	108.564590	0
2850.000000	108.718315	0
2900.000000	108.868866	0
2950.000000	109.015594	0
3000.000000	109.157738	0
3040.000000	109.238449	0
3070.000000	109.296791	0
3110.000000	109.372620	0
3150.000000	109.445679	0
3200.000000	109.531670	0
3250.000000	109.613373	0
3300.000000	109.688339	0
3350.000000	109.757866	0
3400.000000	109.823227	0
3450.000000	109.882126	0
3500.000000	109.935692	0
3550.000000	109.984261	0
3600.000000	110.026596	0
3650.000000	110.065582	0
3700.000000	110.098999	0
3750.000000	110.127029	0
3820.000000	110.159012	0
3870.000000	110.176277	0
3950.000000	110.193665	0
4000.000000	110.197495	0
4060.000000	110.216446	0
4120.000000	110.226555	0
4180.000000	110.226982	0
4250.000000	110.211945	0
4310.000000	110.185966	0
4370.000000	110.147118	0
4440.000000	110.084450	0
4500.000000	110.016655	0
4550.000000	109.951187	0
4620.000000	109.849808	0
4680.000000	109.757278	0
4750.000000	109.646568	0
4820.000000	109.539490	0
4870.000000	109.468163	0
4940.000000	109.375481	0
5000.000000	109.306786	0
5080.000000	109.248627	0
5150.000000	109.209953	0
5220.000000	109.179840	0
5300.000000	109.153374	0
5380.000000	109.132980	0
5450.000000	109.117157	0
5520.000000	109.101051	0
5600.000000	109.080460	0
5700.000000	109.048744	0
5800.000000	109.006897	0
5900.000000	108.954239	0
6000.000000	108.888130	0
6080.000000	108.817993	0
6150.000000	108.747742	0
6220.000000	108.670532	0
6300.000000	108.575127	0
6400.000000	108.443245	0
6500.000000	108.299278	0
6600.000000	108.143311	0
6700.000000	107.976349	0
6800.000000	107.800385	0
6900.000000	107.617355	0
7000.000000	107.428391	0
7100.000000	107.235748	0
7200.000000	107.042244	0
7300.000000	106.850845	0
7400.000000	106.662811	0
7500.000000	106.482162	0
7620.000000	106.277138	0
7750.000000	106.072418	0
7880.000000	105.889160	0
8000.000000	105.742226	0
8120.000000	105.616165	0
8250.000000	105.504524	0
8380.000000	105.417725	0
8500.000000	105.359062	0
8620.000000	105.316719	0
8750.000000	105.285294	0
8850.000000	105.266327	0
9000.000000	105.235001	0
9120.000000	105.195457	0
9250.000000	105.126747	0
9380.000000	105.024231	0
9500.000000	104.895439	0
9620.000000	104.733543	0
9750.000000	104.522926	0
9880.000000	104.277306	0
10000.000000	104.017685	0
10150.000000	103.649284	0
10300.000000	103.232002	0
10440.000000	102.812401	0
10600.000000	102.354187	0
10750.000000	102.025154	0
10900.000000	101.843338	0
11060.000000	101.776642	0
11200.000000	101.746689	0
11380.000000	101.663452	0
11500.000000	101.556938	0
11720.000000	101.279724	0
11800.000000	101.148849	0
12060.000000	100.638603	0
12200.000000	100.288048	0
12410.000000	99.643600	0
12500.000000	99.339775	0
12650.000000	98.811859	0
12800.000000	98.282837	0
13150.000000	97.093216	0
13200.000000	96.931343	0
13400.000000	96.332741	0
13600.000000	95.810287	0
13800.000000	95.366844	0
14000.000000	95.006371	0
14300.000000	94.615112	0
14500.000000	94.418648	0
14750.000000	94.217957	0
15000.000000	94.004852	0
15250.000000	93.480560	0
15500.000000	92.880013	0
15750.000000	92.200333	0
16000.000000	91.444290	0
16250.000000	90.628098	0
16500.000000	89.771019	0
16750.000000	88.890335	0
17000.000000	88.001244	0
17250.000000	87.113121	0
17500.000000	86.238243	0
17750.000000	85.391655	0
18000.000000	84.587891	0
18250.000000	83.845894	0
18500.000000	83.182167	0
18750.000000	82.603142	0
19000.000000	82.103806	0
19250.000000	81.649788	0
19500.000000	81.167068	0
19750.000000	80.873909	0
